	author	cell type	data	gse	paper	path fastq R1	path fastq R2	protocol short	rep	series	source	species	stage	title	treatment	running_mode	technical_rep
10	Jesse,R,Dixon	HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081530_Hi-C__HEK293_siRNA_Control__replicate_one/SRR710072_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081530_Hi-C__HEK293_siRNA_Control__replicate_one/SRR710072_pass_2.fastq.gz	Hi-C	1	GSM1081530	Hi-C,-HEK293-siRNA-Control	Homo-sapiens	NA	Hi-C,-HEK293-siRNA-Control,-replicate-one	siRNA-Control	Zuin	2
11	Jesse,R,Dixon	HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081530_Hi-C__HEK293_siRNA_Control__replicate_one/SRR710073_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081530_Hi-C__HEK293_siRNA_Control__replicate_one/SRR710073_pass_2.fastq.gz	Hi-C	1	GSM1081530	Hi-C,-HEK293-siRNA-Control	Homo-sapiens	NA	Hi-C,-HEK293-siRNA-Control,-replicate-one	siRNA-Control	Zuin	3
12	Jesse,R,Dixon	HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081530_Hi-C__HEK293_siRNA_Control__replicate_one/SRR710074_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081530_Hi-C__HEK293_siRNA_Control__replicate_one/SRR710074_pass_2.fastq.gz	Hi-C	1	GSM1081530	Hi-C,-HEK293-siRNA-Control	Homo-sapiens	NA	Hi-C,-HEK293-siRNA-Control,-replicate-one	siRNA-Control	Zuin	4
13	Jesse,R,Dixon	HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081533_Hi-C__HEK293_siRNA_CTCF__replicate_two/SRR710081_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081533_Hi-C__HEK293_siRNA_CTCF__replicate_two/SRR710081_pass_2.fastq.gz	Hi-C	2	GSM1081533	Hi-C,-HEK293-siRNA-CTCF	Homo-sapiens	NA	Hi-C,-HEK293-siRNA-CTCF,-replicate-two	siRNA-CTCF	Zuin	1
14	Jesse,R,Dixon	HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081533_Hi-C__HEK293_siRNA_CTCF__replicate_two/SRR710082_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081533_Hi-C__HEK293_siRNA_CTCF__replicate_two/SRR710082_pass_2.fastq.gz	Hi-C	2	GSM1081533	Hi-C,-HEK293-siRNA-CTCF	Homo-sapiens	NA	Hi-C,-HEK293-siRNA-CTCF,-replicate-two	siRNA-CTCF	Zuin	2
15	Jesse,R,Dixon	HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081533_Hi-C__HEK293_siRNA_CTCF__replicate_two/SRR710083_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081533_Hi-C__HEK293_siRNA_CTCF__replicate_two/SRR710083_pass_2.fastq.gz	Hi-C	2	GSM1081533	Hi-C,-HEK293-siRNA-CTCF	Homo-sapiens	NA	Hi-C,-HEK293-siRNA-CTCF,-replicate-two	siRNA-CTCF	Zuin	3
16	Jesse,R,Dixon	HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081532_Hi-C__HEK293_siRNA_CTCF__replicate_one/SRR710078_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081532_Hi-C__HEK293_siRNA_CTCF__replicate_one/SRR710078_pass_2.fastq.gz	Hi-C	1	GSM1081532	Hi-C,-HEK293-siRNA-CTCF	Homo-sapiens	NA	Hi-C,-HEK293-siRNA-CTCF,-replicate-one	siRNA-CTCF	Zuin	1
17	Jesse,R,Dixon	HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081532_Hi-C__HEK293_siRNA_CTCF__replicate_one/SRR710079_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081532_Hi-C__HEK293_siRNA_CTCF__replicate_one/SRR710079_pass_2.fastq.gz	Hi-C	1	GSM1081532	Hi-C,-HEK293-siRNA-CTCF	Homo-sapiens	NA	Hi-C,-HEK293-siRNA-CTCF,-replicate-one	siRNA-CTCF	Zuin	2
18	Jesse,R,Dixon	HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081532_Hi-C__HEK293_siRNA_CTCF__replicate_one/SRR710080_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081532_Hi-C__HEK293_siRNA_CTCF__replicate_one/SRR710080_pass_2.fastq.gz	Hi-C	1	GSM1081532	Hi-C,-HEK293-siRNA-CTCF	Homo-sapiens	NA	Hi-C,-HEK293-siRNA-CTCF,-replicate-one	siRNA-CTCF	Zuin	3
19	Jesse,R,Dixon	RAD21cv-HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081528_Hi-C__RAD21cv_HEK293__HRV_treated__replicate_one/SRR710064_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081528_Hi-C__RAD21cv_HEK293__HRV_treated__replicate_one/SRR710064_pass_2.fastq.gz	Hi-C	1	GSM1081528	Hi-C,-RAD21cv-HEK293,-HRV-treated	Homo-sapiens	NA	Hi-C,-RAD21cv-HEK293,-HRV-treated,-replicate-one	HRV-treated	Zuin	1
20	Jesse,R,Dixon	RAD21cv-HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081528_Hi-C__RAD21cv_HEK293__HRV_treated__replicate_one/SRR710065_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081528_Hi-C__RAD21cv_HEK293__HRV_treated__replicate_one/SRR710065_pass_2.fastq.gz	Hi-C	1	GSM1081528	Hi-C,-RAD21cv-HEK293,-HRV-treated	Homo-sapiens	NA	Hi-C,-RAD21cv-HEK293,-HRV-treated,-replicate-one	HRV-treated	Zuin	2
21	Jesse,R,Dixon	RAD21cv-HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081528_Hi-C__RAD21cv_HEK293__HRV_treated__replicate_one/SRR710066_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081528_Hi-C__RAD21cv_HEK293__HRV_treated__replicate_one/SRR710066_pass_2.fastq.gz	Hi-C	1	GSM1081528	Hi-C,-RAD21cv-HEK293,-HRV-treated	Homo-sapiens	NA	Hi-C,-RAD21cv-HEK293,-HRV-treated,-replicate-one	HRV-treated	Zuin	3
22	Jesse,R,Dixon	RAD21cv-HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081529_Hi-C__RAD21cv_HEK293__HRV_treated__replicate_two/SRR710067_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081529_Hi-C__RAD21cv_HEK293__HRV_treated__replicate_two/SRR710067_pass_2.fastq.gz	Hi-C	2	GSM1081529	Hi-C,-RAD21cv-HEK293,-HRV-treated	Homo-sapiens	NA	Hi-C,-RAD21cv-HEK293,-HRV-treated,-replicate-two	HRV-treated	Zuin	1
23	Jesse,R,Dixon	RAD21cv-HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081529_Hi-C__RAD21cv_HEK293__HRV_treated__replicate_two/SRR710068_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081529_Hi-C__RAD21cv_HEK293__HRV_treated__replicate_two/SRR710068_pass_2.fastq.gz	Hi-C	2	GSM1081529	Hi-C,-RAD21cv-HEK293,-HRV-treated	Homo-sapiens	NA	Hi-C,-RAD21cv-HEK293,-HRV-treated,-replicate-two	HRV-treated	Zuin	2
24	Jesse,R,Dixon	RAD21cv-HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081529_Hi-C__RAD21cv_HEK293__HRV_treated__replicate_two/SRR710069_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081529_Hi-C__RAD21cv_HEK293__HRV_treated__replicate_two/SRR710069_pass_2.fastq.gz	Hi-C	2	GSM1081529	Hi-C,-RAD21cv-HEK293,-HRV-treated	Homo-sapiens	NA	Hi-C,-RAD21cv-HEK293,-HRV-treated,-replicate-two	HRV-treated	Zuin	3
25	Jesse,R,Dixon	RAD21cv-HEK293	Feb-12-2013	GSE44267	Zuin-2013	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081529_Hi-C__RAD21cv_HEK293__HRV_treated__replicate_two/SRR710070_pass_1.fastq.gz	/home/HIC_DB/META/GSE44267_SRA/Supp_GSM1081529_Hi-C__RAD21cv_HEK293__HRV_treated__replicate_two/SRR710070_pass_2.fastq.gz	Hi-C	2	GSM1081529	Hi-C,-RAD21cv-HEK293,-HRV-treated	Homo-sapiens	NA	Hi-C,-RAD21cv-HEK293,-HRV-treated,-replicate-two	HRV-treated	Zuin	4
